id,title,artist,genre,mood,tempo,energy,danceability,acousticness,cover_url
84,Track 84 (Energetic Rock),Neural Beats,Rock,Energetic,66,0.69,0.58,0.23,https://picsum.photos/seed/84/200/200
85,Track 85 (Chill Electronic),Neural Beats,Electronic,Chill,132,0.34,0.89,0.81,https://picsum.photos/seed/85/200/200
86,Track 86 (Chill Funk),Algo Rhythm,Funk,Chill,113,0.36,0.81,0.04,https://picsum.photos/seed/86/200/200
87,Track 87 (Sad Funk),Virtual Reality,Funk,Sad,69,0.55,0.49,0.51,https://picsum.photos/seed/87/200/200
88,Track 88 (Energetic Hip Hop),The Synthetics,Hip Hop,Energetic,72,0.79,0.34,0.17,https://picsum.photos/seed/88/200/200
89,Track 89 (Chill Funk),Code Monkeys,Funk,Chill,72,0.33,0.71,0.36,https://picsum.photos/seed/89/200/200
90,Track 90 (Dramatic Rock),Neural Beats,Rock,Dramatic,174,0.64,0.5,0.67,https://picsum.photos/seed/90/200/200
91,Track 91 (Energetic Pop),Data Flow,Pop,Energetic,138,0.38,0.84,0.85,https://picsum.photos/seed/91/200/200
92,Track 92 (Happy Rock),The Loops,Rock,Happy,120,0.37,0.67,0.33,https://picsum.photos/seed/92/200/200
93,Track 93 (Energetic Pop),AI Harmony,Pop,Energetic,123,0.48,0.45,0.43,https://picsum.photos/seed/93/200/200
94,Track 94 (Happy Classical),Neural Beats,Classical,Happy,115,0.94,0.75,0.87,https://picsum.photos/seed/94/200/200
95,Track 95 (Chill Hip Hop),The Synthetics,Hip Hop,Chill,154,0.3,0.22,0.34,https://picsum.photos/seed/95/200/200
96,Track 96 (Chill Classical),The Loops,Classical,Chill,161,0.22,0.29,0.72,https://picsum.photos/seed/96/200/200
97,Track 97 (Dramatic Hip Hop),Binary Stars,Hip Hop,Dramatic,154,0.52,0.37,0.65,https://picsum.photos/seed/97/200/200
98,Track 98 (Happy Pop),Code Monkeys,Pop,Happy,155,0.54,0.38,0.88,https://picsum.photos/seed/98/200/200
99,Track 99 (Energetic Pop),Virtual Reality,Pop,Energetic,163,0.91,0.69,0.52,https://picsum.photos/seed/99/200/200
100,Track 100 (Sad Classical),Data Flow,Classical,Sad,101,0.24,0.89,0.86,https://picsum.photos/seed/100/200/200
